Airline,Date,EBITDA,Status,Country,Region,IATA
Singapore Airlines,2002'Q2,18.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q2,20.0,public,AU,Asia Pacific,QF
Japan Airlines,2002'Q2,6.0,public,JP,Asia Pacific,JL
ANA Holdings,2002'Q2,6.0,public,JP,Asia Pacific,NH
Korean Air,2002'Q2,5.0,public,KR,Asia Pacific,KE
Asiana Airlines,2002'Q2,0.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2002'Q2,24.0,public,HK,Asia Pacific,CX
Gol Linhas Aereas,2002'Q2,10.0,public,BR,Latin America,G3
LATAM Airlines,2002'Q2,9.0,public,CL,Latin America,LA
China Eastern,2002'Q2,21.0,public,CN,China,MU
China Southern,2002'Q2,20.0,public,CN,China,CZ
Hainan Airlines,2002'Q2,31.0,public,CN,China,HU
SpiceJet,2002'Q2,-50.0,public,IN,India,SG
Kenya Airlines,2002'Q2,7.0,public,KE,Africa,KQ
Comair,2002'Q2,6.0,public,ZA,Africa,MN
Emirates,2002'Q2,14.0,private,AE,Middle East,EK
Aeroflot,2002'Q2,14.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q3,-2.0,public,US,North America,AA
Delta Air Lines,2002'Q3,2.0,public,US,North America,DL
Southwest Airlines,2002'Q3,15.0,public,US,North America,WN
United Airlines,2002'Q3,-10.0,public,US,North America,UA
Alaska Air,2002'Q3,4.0,public,US,North America,AS
JetBlue,2002'Q3,18.0,public,US,North America,B6
Hawaiian,2002'Q3,-5.0,public,US,North America,HA
SkyWest,2002'Q3,21.0,public,US,North America,OO
Northwest Airlines,2002'Q3,0.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q3,2.0,public,CA,North America,AC
WestJet Airlines,2002'Q3,24.0,public,CA,North America,WS
IAG,2002'Q3,12.0,public,EU,Europe,IAG
Air France-KLM,2002'Q3,10.0,public,EU,Europe,AF/KL
Ryanair,2002'Q3,39.0,public,EU,Europe,FR
Deutsche Lufthansa,2002'Q3,11.0,public,EU,Europe,LH
Norwegian Air Shuttle,2002'Q3,-18.0,public,EU,Europe,DY
Finnair,2002'Q3,8.0,public,EU,Europe,AY
Singapore Airlines,2002'Q3,18.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q3,16.0,public,AU,Asia Pacific,QF
Japan Airlines,2002'Q3,6.0,public,JP,Asia Pacific,JL
ANA Holdings,2002'Q3,5.0,public,JP,Asia Pacific,NH
Korean Air,2002'Q3,6.0,public,KR,Asia Pacific,KE
Asiana Airlines,2002'Q3,0.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2002'Q3,26.0,public,HK,Asia Pacific,CX
Gol Linhas Aereas,2002'Q3,10.0,public,BR,Latin America,G3
LATAM Airlines,2002'Q3,9.0,public,CL,Latin America,LA
China Eastern,2002'Q3,21.0,public,CN,China,MU
China Southern,2002'Q3,21.0,public,CN,China,CZ
Hainan Airlines,2002'Q3,30.0,public,CN,China,HU
SpiceJet,2002'Q3,-50.0,public,IN,India,SG
Kenya Airlines,2002'Q3,7.0,public,KE,Africa,KQ
Comair,2002'Q3,5.0,public,ZA,Africa,MN
Emirates,2002'Q3,14.0,private,AE,Middle East,EK
Aeroflot,2002'Q3,16.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2002'Q4,-2.0,public,US,North America,AA
Delta Air Lines,2002'Q4,2.0,public,US,North America,DL
Southwest Airlines,2002'Q4,14.0,public,US,North America,WN
United Airlines,2002'Q4,-11.0,public,US,North America,UA
Alaska Air,2002'Q4,5.0,public,US,North America,AS
JetBlue,2002'Q4,21.0,public,US,North America,B6
Hawaiian,2002'Q4,-6.0,public,US,North America,HA
SkyWest,2002'Q4,23.0,public,US,North America,OO
Northwest Airlines,2002'Q4,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2002'Q4,3.0,public,CA,North America,AC
WestJet Airlines,2002'Q4,24.0,public,CA,North America,WS
IAG,2002'Q4,13.0,public,EU,Europe,IAG
Air France-KLM,2002'Q4,10.0,public,EU,Europe,AF/KL
Ryanair,2002'Q4,40.0,public,EU,Europe,FR
Deutsche Lufthansa,2002'Q4,11.0,public,EU,Europe,LH
Norwegian Air Shuttle,2002'Q4,-18.0,public,EU,Europe,DY
Finnair,2002'Q4,8.0,public,EU,Europe,AY
Singapore Airlines,2002'Q4,18.0,public,SG,Asia Pacific,SQ
Qantas Airways,2002'Q4,12.0,public,AU,Asia Pacific,QF
Japan Airlines,2002'Q4,6.0,public,JP,Asia Pacific,JL
ANA Holdings,2002'Q4,5.0,public,JP,Asia Pacific,NH
Korean Air,2002'Q4,8.0,public,KR,Asia Pacific,KE
Asiana Airlines,2002'Q4,0.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2002'Q4,29.0,public,HK,Asia Pacific,CX
Gol Linhas Aereas,2002'Q4,10.0,public,BR,Latin America,G3
LATAM Airlines,2002'Q4,10.0,public,CL,Latin America,LA
China Eastern,2002'Q4,21.0,public,CN,China,MU
China Southern,2002'Q4,21.0,public,CN,China,CZ
Hainan Airlines,2002'Q4,30.0,public,CN,China,HU
SpiceJet,2002'Q4,-50.0,public,IN,India,SG
Kenya Airlines,2002'Q4,6.0,public,KE,Africa,KQ
Comair,2002'Q4,3.0,public,ZA,Africa,MN
Emirates,2002'Q4,14.0,private,AE,Middle East,EK
Aeroflot,2002'Q4,18.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q1,0.0,public,US,North America,AA
Delta Air Lines,2003'Q1,2.0,public,US,North America,DL
Southwest Airlines,2003'Q1,14.0,public,US,North America,WN
United Airlines,2003'Q1,-9.0,public,US,North America,UA
Alaska Air,2003'Q1,5.0,public,US,North America,AS
JetBlue,2003'Q1,21.0,public,US,North America,B6
Allegiant,2003'Q1,8.0,public,US,North America,G4
Hawaiian,2003'Q1,-7.0,public,US,North America,HA
SkyWest,2003'Q1,22.0,public,US,North America,OO
Northwest Airlines,2003'Q1,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q1,1.0,public,CA,North America,AC
